Nama Produk,Kategori,Merk,Stok,Satuan,Harga Beli (HPP),Harga Jual,SKU
Calcium Lactate Teknis @1 Kg,PADATAN PRO ANALIS,A.7.1,1000,Kg,149850,166500,
Calcium Lactate Food Grade Eceran,PADATAN TEKNIS,A.7.1,545,Gram,150,300,
Calcium Nitrate / Kalsium Nitrat Ca(No3)2 Teknis,PADATAN TEKNIS,A.7.2,2,Kg,84150,93500,
Calcium Nitrate / Kalsium Nitrat Ca(No3)2 Teknis Eceran,PADATAN TEKNIS,A.7.2,570,Gram,85,200,
Calcium Posphate CaPO4 Teknis Eceran,PADATAN TEKNIS,A.7.3,475,Gram,60,300,
Calcium Propionate Teknis @1 Kg,PADATAN TEKNIS,A.8.1,1,Kg,149850,166500,
Calcium Propionate Teknis Ecerean,PADATAN TEKNIS,A.8.1,1000,Gram,150,400,
Calcium Sulfate Teknis CaSO4 @1 Kg,PADATAN TEKNIS,A.8.2,20,Kg,19000,32500,
Calcium Sulfate Teknis CaSO4 Eceran,PADATAN TEKNIS,A.8.2,975,Gram,19,200,
Camphora / Kamper 1 Kg,PADATAN TEKNIS,A.8.3,1,Kg,135000,245500,
Camphora / Kamper Eceran,PADATAN PRO ANALIS,A.8.3,385,Gram,135,500,
Carbomer / Carbopol 940 @1 Kg,PADATAN TEKNIS,A.9.1,2,Kg,365300,700000,
Carbomer / Carbopol 940,PADATAN TEKNIS,A.9.1,454,Gram,366,1500,
Carbon Active Granul Eceran,PADATAN TEKNIS,A.9.2,920,Gram,30,250,
Carbon Active Powder @1 Kg,PADATAN TEKNIS,A.9.3,10,Kg,46350,65000,
Carbon Active Powder Eceran,PADATAN TEKNIS,A.9.3,370,Gram,47,200,
Cethyl Alkohol @1 Kg,PADATAN TEKNIS,A.10.1,1,Kg,169200,188000,
Cethyl Alkohol Eceran,PADATAN TEKNIS,A.10.1,209,Gram,170,500,
Chitosan @1 Kg,PADATAN TEKNIS,A.10.2,1,Kg,1214100,1349000,
Chitosan Eceran,PADATAN TEKNIS,A.10.2,847,Gram,1214,2000,
Citric Acid / Asam Sitrat Teknis,PADATAN TEKNIS,A.10.3,1,Kg,40000,79000,
Citric Acid / Asam Sitrat Teknis Eceran,PADATAN TEKNIS,A.10.3,297,Gram,40,300,
CMC Food Grade,PADATAN TEKNIS,A.11.1,1,Kg,90000,155000,
CMC (Carboxymethyl Cellulose) FOOD GRADE Eceran,PADATAN TEKNIS,A.11.1,674,Gram,90,500,
CMC Teknis @1 Kg,PADATAN TEKNIS,A.11.2,1,Kg,169200,188000,
CMC (Carboxymethyl Cellulose) Teknis Eceran,PADATAN TEKNIS,A.11.2,697,Gram,170,500,
Cocoa Butter @1 Kg,PADATAN TEKNIS,A.11.3,1,Kg,477000,530500,
Oleum Cacao  / Cacao Butter / Lemak Coklat Deodorized Eceran,PADATAN TEKNIS,A.11.3,184,Gram,477,1000,
Cafeine Anhydrous / Coffein ** @1 Kg,PADATAN TEKNIS,A.12.1,1,Kg,2539350,2821500,
Cafeine Anhydrous / Coffein ** Eceran,PADATAN TEKNIS,A.12.1,159,Gram,2540,4500,
Copper Sulfate / CuSO4 / Trusi / Terusi,PADATAN TEKNIS,A.12.2,8,Kg,70000,105000,
Copper Sulfate / CuSO4 Teknis,PADATAN TEKNIS,A.12.2,887,Gram,70,300,
Corn Starch / Pati Jagung Eceran,PADATAN TEKNIS,A.12.3,425,Gram,86,250,
CTM POWDER **,PADATAN TEKNIS,A.13.3,240,Kg,2777850,3089500,
CTM POWDER **,PADATAN TEKNIS,A.13.3,240,Gram,2778,8000,
DEXAMETHASONE,,26122020075,1,Kg,2063250,2292500,
DEXAMETHASONE,,26122020076,280,Gram,2064,5550,
DEXTRIN FLOWER,,26122020077,2,Kg,43200,60000,
DEXTRIN FLOWER,,26122020078,2000,Gram,44,300,
EDTA 2Na Teknis,,26122020079,1,Kg,120000,200000,
EDTA 2Na Teknis Eceran,,26122020080,300,Gram,120,600,
EMAL 70,,26122020081,1,Kg,115200,128000,
EMAL 75,,26122020082,500,Gram,116,335,
EXPLOTAB,,26122020083,1,Kg,732600,814000,
EXPLOTAB eceran,,26122020084,440,Gram,733,2000,
CRYSTALLINE FRUCTOSE POWDER,,26122020085,2,Kg,42300,185500,
FRUCTOSE POWDER,,26122020086,938,Gram,540,1500,
GELATINE,,26122020087,1,Kg,287550,319500,
Gelatine Powder Eceran,PADATAN TEKNIS,26122020088,1,Gram,288,900,
Glukosa Teknis,,26122020089,2,Kg,35000,70000,
Glukosa Teknis Eceran,PADATAN TEKNIS,26122020090,145,Gram,35,200,
GLYCINE,,26122020091,1,Kg,305100,339000,
GLYCINE,,26122020092,795,Gram,306,900,
HPMC,,26122020093,1,Kg,271350,301500,
HPMC / Hidroksipropil Metyl Selulose,,26122020094,595,Gram,272,800,
HUMIC ACID / ASAM HUMAT,,26122020095,1,Kg,149400,166000,
HUMIC ACID / ASAM HUMAT,,26122020096,490,Gram,150,450,
IBUPROFEN POWDER,,26122020098,985,Gram,1490,4500,
IRON CHLORIDE / FECl3 (ferricchloride@1KG),,26122020099,2,Kg,60650,91000,
IRON CHLORIDE / FECl3,,26122020100,378,Gram,225,500,
Ferro Sulfate / Besi II Sulfat / Iron II Sulfat FeSO4 Teknis,,26122020101,2,Kg,35000,78000,
IRON SULFATE / FeSO4 ECERAN,PADATAN TEKNIS,26122020102,9800,Gram,35,200,
ISP,,26122020103,1,Kg,138150,153500,
ISP,,26122020104,1,Gram,139,450,
KAOLIN / BOLUS ALBA,,26122020105,1,Kg,14743,179000,
KAOLIN / BOLUS ALBA,,26122020106,210,Gram,15,450,
Kaporit Powder,,26122020107,8,Kg,40000,55000,
Kaporit Powder,,26122020108,944,Gram,40,200,
KARAGENAN KAPPA,,26122020109,1,Kg,315900,351000,
KARAGENAN KAPPA,,26122020110,788,Gram,400,1000,
LAURIC ACID / ASAM LAURAT,,26122020111,1,Kg,85000,127500,
LAURIC ACID / ASAM LAURAT,,26122020112,1490,Gram,85,300,
LESITIN SOYA / SOYA KEDELAI,,26122020113,1,Kg,161100,179000,
LESITIN SOYA / SOYA KEDELAI,,26122020114,1,Gram,162,450,
LYSINE /L-LYSINE,,26122020115,1,Kg,126450,140500,
LYSINE /L-LYSINE,,26122020116,1,Gram,127,450,
MAGNESIUM SULFATE / MgSO4,,26122020117,1,Kg,46350,51500,
MAGNESIUM SULFATE / MgSO4,,26122020118,120,Gram,47,250,
MALIC ACID / ASAM MALAT,,26122020119,1,Kg,1,351500,
MALIC ACID / ASAM MALAT,,26122020120,972,Gram,534,890,
MALTO DEXTRIN,PADATAN TEKNIS,26122020121,75,Kg,16000,38000,
MALTO DEXTRIN ECERAN,,26122020122,1745,Gram,16,200,
MANGAN SULFATE / MnSO4,,26122020123,1,Kg,71600,89500,
MANGAN SULFATE / MnSO4,,26122020124,32,Gram,72,250,
MANITOL,,26122020125,1,Kg,902250,1002500,
MANITOL,,26122020126,211,Gram,903,2500,
MEFENAMIC ACID / ASAM MEFENAMAT,,26122020127,1,Kg,967000,1074000,
MEFENAMIC ACID / ASAM MEFENAMAT,,26122020128,1000,Gram,967,2800,
METHYL PARABEN / NIPAGIN,,26122020129,1,Kg,444600,500000,
METHYL PARABEN / NIPAGIN eceran,,26122020130,202,Gram,450,1000,
MICRO CRYSTALINE CELULLOSE,,26122020131,1,Kg,526500,585000,
MICRO CRYSTALINE CELULLOSE,,26122020132,930,Gram,900,1500,
MYRISTIC ACID / ASAM MIRISTAT,,26122020133,1,Kg,166950,185500,
MYRISTIC ACID / ASAM MIRISTAT,,26122020134,390,Gram,166,555,
OXALIC ACID / ASAM OKSALAT,,26122020135,2,Kg,35617,89500,
OXALIC ACID / ASAM OKSALAT,,26122020136,217,Gram,36,250,
PALMITIC ACID / ASAM PALMITAT,,26122020137,1,Kg,166950,185500,
PALMITIC ACID / ASAM PALMITAT,,26122020138,430,Gram,200,600,
PARAFIN WAX,,26122020139,27,Kg,50000,83500,
PARAFIN WAX Eceran,,26122020140,1840,Gram,50,250,
PEG 4000,,26122020142,425,Gram,350,800,
PEG 6000,,26122020143,30,Kg,95000,142500,
PEG 6000,,26122020144,340,Gram,95,300,
PEKTIN,,26122020145,1000,Kg,191250,212500,
PEKTIN,,26122020146,898,Gram,499,800,
PEKTIN UNTUK SELAI,,26122020147,1,Kg,202500,225000,
PEKTIN UNTUK SELAI,,26122020148,1,Gram,203,555,
POLI VYNIL ALCOHOL / PVA,,26122020149,1,Kg,124500,285000,
POLI VYNIL ALCOHOL / PVA,,26122020150,490,Gram,124,800,
PVP K90 / PVP K-90 / Polyvinylpyrrolidone,,26122020151,1,Kg,550000,715000,
PVP K90 / PVP K-90 / Polyvinylpyrrolidone,,26122020152,295,Gram,600,1500,
POTASSIUM CHLORIDE / KCL,,26122020153,1,Kg,163600,204500,
POTASSIUM CHLORIDE / KCl,,26122020154,800,Gram,163,600,
Potassium Dicromate / Kalium Bikromat K2Cr2O7 PA,,26122020155,1,Kg,1394500,1854685,
Potassium Dicromate / Kalium Bikromat K2Cr2O7 PA Eceran,PRO ANALIS,A-2035,333,Gram,2800,5500,
POTASSIUM DIHIDROGEN POSPHATE / KH2PO4,,26122020157,1,Kg,114800,143500,
POTASSIUM DIHIDROGEN POSPHATE / KH2PO4 TEKNIS,,26122020158,268,Gram,115,450,
Potassium Hydroxide / KOH Teknis,,26122020159,7,Kg,15000,35000,
Potassium Hydroxide / KOH Teknis,,26122020160,555,Gram,50,250,
POTASSIUM NITRATE / KNO3 **,,26122020161,1,Kg,66800,83500,
POTASSIUM NITRATE / KNO3 **,,26122020162,40,Gram,100,300,
Potassium Permanganat KMnO4 **,PADATAN TEKNIS,26122020163,1,Kg,136000,411000,
Potassium Permanganat KMnO4 **,PADATAN TEKNIS,26122020164,714,Gram,136,1500,
POTASSIUM SIANIDA / KCn **,,26122020165,1,Kg,1532000,1915000,
POTASSIUM SIANIDA / KCn **,,26122020166,500,Gram,1532,4500,
POTASSIUM SODIUM TARTRAT / KNA TARTRAT,,26122020167,1,Kg,615200,769000,
Kalium Natrium Tartrat / Potassium Sodium Tartrate K Na Tartrat PA Eceran,PADATAN PRO ANALIS,26122020168,459,Gram,615,1500,
POTASSIUM SULFATE / K2SO4,,26122020169,1,Kg,123000,154000,
POTASSIUM SULFATE / K2SO4,,26122020170,820,Gram,123,450,
PROPYL PARABEN / NIPASOL,,26122020171,1,Kg,639600,799500,
PROPYL PARABEN / NIPASOL,,26122020172,101,Gram,1500,2500,
SILICA GEL BLUE,,26122020173,2,Kg,56032,78000,
SILICA GEL BLUE,,26122020174,955,Gram,82,350,
SKIM MILK POWDER / SUSU SKIM,,26122020175,1,Kg,79500,120000,
SKIM MILK POWDER / SUSU SKIM,,26122020176,424,Gram,80,400,
SLS Powder Teknis,,26122020177,1,Kg,70000,140000,
SLS Powder Teknis,,26122020178,550,Gram,70,300,
SODIUM ACETATE / Na ASETAT TEKNIS,PADATAN TEKNIS,26122020179,1001,Kg,33243,96500,
SODIUM ACETATE / Na ASETAT TEKNIS ECERAN,PADATAN TEKNIS,26122020180,8913,Gram,34,250,
SODIUM ALGINAT / Na ALGINAT,,26122020181,1,Kg,306400,486000,
SODIUM ALGINAT / Na ALGINAT FG ECERAN,PADATAN TEKNIS,26122020182,35,Gram,498,1500,
SODIUM BENZOAT / Na BENZOAT FG,,26122020183,1,Kg,45600,60000,
SODIUM BENZOAT / Na BENZOAT FG,,26122020184,380,Gram,45,250,
Sodium Borate / Sodium Tetraborate / borax,,26122020185,1,Kg,612800,766000,
Sodium Borate / Sodium Tetraborate / borax,PADATAN TEKNIS,26122020186,645,Gram,612,1500,
SODIUM CARBONATE / Na2CO3/ Soda Ash Teknis 500gr,,,18,Pack,15000,23000,
SODIUM CARBONATE / Na2CO3,,26122020188,410,Gram,35,250,
"NaCL 0,9% 50 ML",,,9,Botol,1500,5000,
SODIUM CHLORIDE / NaCl Teknis Eceran,,26122020190,1420,Gram,"10,4",200,
SODIUM CITRATE / Na SITRAT,,26122020191,1,Kg,66800,83500,
SODIUM CITRATE / Na SITRAT,,26122020192,790,Gram,66,250,
Natrium Bicarbonat / sodium bicarbonat / NaHCO3 Teknis,,26122020193,12,Kg,17000,35000,
SODIUM HIDROGEN CARBONAT / NaHCO3 / Na BICARBONATE,,26122020194,300,Gram,20,200,
NaOH 80% Teknis 500 ml,,,32,Botol,12500,37000,
Sodium Hydroxide / NaOH Teknis,,26122020196,368,Gram,22,200,
SODIUM METABISULFITE / Na2S2O5,,26122020197,1,Kg,61280,76600,
SODIUM METABISULFITE / Na2S2O5,,26122020198,359,Gram,61,250,
SODIUM NITRATE / NaNO3,,26122020199,1,Kg,71600,89500,
SODIUM NITRATE / NaNO3,,26122020200,940,Gram,71,200,
SODIUM NITRITE / NaNO2,,26122020201,1,Kg,153200,191500,
SODIUM NITRITE / NaNO2,,26122020202,460,Gram,153,555,
SODIUM PHOSPHATE / NA3PO4,,26122020203,1,Kg,61280,76600,
SODIUM PHOSPHATE / NA3PO4,,26122020204,640,Gram,62,250,
SODIUM SULFATE / Na2SO4 Teknis,,26122020205,2,Kg,9000,25600,
SODIUM SULFATE / Na2SO4 Teknis Eceran,,26122020206,115,Gram,5,250,
SODIUM THIOSULFAT / Na2S2O3 Teknis Eceran,,26122020208,1000,Gram,21,250,
SODIUM TRI POLI POSPHATE / STPP FOOD GRADE,,26122020209,1,Kg,82000,102500,
SODIUM TRI POLI POSPHATE / STPP FOOD GRADE,,26122020210,1,Gram,82,250,
SODIUM TRI POLI POSPHATE / STPP TEKNIS,,26122020211,1,Kg,61280,84000,
SODIUM TRI POLI POSPHATE / STPP TEKNIS,PADATAN TEKNIS,26122020212,960,Gram,62,250,
SPRAY DRY LACTOSE,,26122020213,1,Kg,587600,734500,
SPRAY DRY LACTOSE,,26122020214,690,Gram,587,1800,
Stearic Acid / Asam Stearat Teknis,,26122020215,4,Kg,45000,70000,
Stearic Acid / Asam Stearat Eceran,,26122020216,55,Gram,45,200,
Belerang Bubuk / Sulfur Powder,,26122020217,1,Kg,20000,45000,
Belerang Bubuk / Sulfur Powder,,26122020218,1400,Gram,28,250,
TALK / TALC Powder Haichen,,26122020219,3,Kg,10000,20000,
TALK / TALC Powder Haichen Eceran,,26122020220,800,Gram,10,250,
Alumunium Sulfat / Tawas Powder,PADATAN TEKNIS,26122020221,1,Kg,14500,25000,
Alumunium Sulfat / Tawas Powder,,26122020222,951,Gram,5,300,
Texapone / Sodium Lauryl Ether Sulphate (SLES) Eceran,,26122020224,1715,Gram,38,250,
TITANIUM DIOXIDE / TiO2,,26122020225,1,Kg,124400,155500,
TITANIUM DIOXIDE / TiO2,,26122020226,625,Gram,125,450,
TRAGACANTH,,26122020227,1,Kg,1241200,1551500,
TRAGACANTH,PADATAN TEKNIS,26122020228,90,Gram,1242,4100,
UREA / CO(NH2)2,,26122020229,7,Kg,61280,75500,
UREA / CO(NH2)2,,26122020230,770,Gram,61,250,
VASELIN KUNING / FLAVUM,,26122020231,4,Kg,103340,155000,
VASELIN KUNING / FLAVUM,,26122020232,335,Gram,100,450,
VASELIN PUTIH @1 Kg,,26122020233,1,Kg,50000,75000,
VASELIN PUTIH eceran,,26122020234,670,Gram,50,300,
XANTHAN GUM,,26122020235,1,Kg,"163912,5",244000,
XANTHAN GUM,,26122020236,262,Gram,164,450,
Zinc Oxide / Seng Oksida ZnO Teknis,PADATAN TEKNIS,26122020237,19,Kg,85000,153500,
Zinc Oxide / Seng Oksida ZnO Teknis Eceran,PADATAN TEKNIS,26122020238,680,Gram,85,300,
ZINC SULFATE / ZnSO4 Teknis,,26122020239,1,Kg,30000,84500,
ZINC SULFATE / ZnSO4 Teknis Eceran,PADATAN TEKNIS,26122020240,9589,Gram,30,250,
MAGNESIUM STEARAT,,26122020241,1,Kg,125000,187500,
MAGNESIUM STEARAT,,26122020242,535,Gram,80,600,
AMMONIUM BIFLUORIDE (ABF),,26122020243,10,Kg,679600,849500,
AMMONIUM BIFLUORIDE (ABF),,26122020244,10,Gram,678,2000,
AMMONIUM BICARBONATE,,26122020245,10,Kg,61280,76600,
AMMONIUM BICARBONATE,,26122020246,80,Gram,62,300,
CETACEUM /SPERMACETI / CETYL PALMITATE,,26122020247,1,Kg,260000,390000,
CETACEUM /SPERMACETI / CETYL PALMITATE,,26122020248,470,Gram,260,1400,
Lanolin / Lanoline Anhydrous / Adeps Lanae,,26122020251,1,Kg,320000,416000,
Lanolin / Lanoline Anhydrous / Adeps Lanae,,26122020252,121,Gram,350,1200,
CARNAUBA WAX / PALM WAX,,26122020253,1,Kg,198000,330000,
CARNAUBA WAX / PALM WAX,,26122020254,1,Gram,198,700,
BENTONITE CLAY,,26122020255,1,Kg,25000,74500,
BENTONITE CLAY,,26122020256,75,Gram,25,300,
LAKTOSA / SACCHARUM LACTIS,,26122020257,2,Kg,99600,125000,
LAKTOSA / SACCHARUM LACTIS,,26122020258,900,Gram,100,400,
CALAMIN POWDER,,26122020259,1,Kg,294400,368000,
CALAMIN POWDER,,26122020260,1,Gram,295,900,
GUM ARAB / PGA,,26122020262,658,Gram,613,1000,
Magnesium Chloride MgCl2 Teknis Eceran,,26122020263,1,Kg,68400,85500,
Magnesium Chloride MgCl2 Teknis Eceran,,26122020264,1,Gram,69,250,
GUAR GUM,,26122020265,3,Kg,63493,169000,
GUAR GUM,,26122020266,240,Gram,64,450,
CALCIUM OXIDE (CaO) Kapur Tohor,,26122020267,1,Kg,156400,190000,
CALCIUM OXIDE (CaO) Kapur Tohor,,26122020268,1000,Gram,157,500,
PUPUK TSP,,26122020269,1,Kg,20480,25600,
PUPUK TSP,,26122020270,1,Gram,21,250,
MAGNESIUM CARBONATE (MgCO3),,26122020271,1,Kg,75000,112500,
MAGNESIUM CARBONATE (MgCO3),,26122020272,1990,Gram,75,300,
GMS,,26122020273,1,Kg,172000,215000,
GMS,,26122020274,1000,Gram,325,800,
ZEOLIT,,26122020275,2,Kg,7000,35000,
ZEOLIT,,26122020276,700,Gram,7,200,
BHT,,26122020277,1,Kg,122800,153500,
BHT,,26122020278,317,Gram,123,450,
SULFAMETHOXAZOL,,26122020280,250,Gram,1440,1800,
THIAMIN HCL,,26122020281,1,Kg,514400,643000,
THIAMIN HCL Eceran,,26122020282,349,Gram,515,2000,
MAGNESIUM OXIDE,,26122020283,1,Kg,35600,44500,
MAGNESIUM OXIDE,,26122020284,1,Gram,36,250,
MONOSODIUM GLUTAMAT,,26122020285,1,Kg,45300,68000,
MONOSODIUM GLUTAMAT,,26122020286,670,Gram,46,300,
Sukrosa Teknis,,26122020287,2,Kg,16700,28000,
Sukrosa Teknis Eceran,,26122020288,589,Gram,17,300,
SALICYLIC ACID Merck,,8.187.311.000,1,1 Kg,1,2015000,
Paracetamol Pharmaceutical Grade,,,1,500 gr,370000,616500,
TIOUREA,,26122020291,1,Kg,133200,166500,
TIOUREA,,26122020292,400,Gram,133,450,
SODIUM CASEINATE,,26122020293,1,Kg,400000,580000,
Sodium Caseinate Eceran,,26122020294,955,Gram,400,1000,
SORBITOL POWDER,,26122020295,1,Kg,100000,125000,
SORBITOL POWDER,,26122020296,210,Gram,100,350,
SERBUK BESI / FE POWDER,,26122020297,1,Kg,100000,125000,
SERBUK BESI / FE POWDER,,26122020298,333,Gram,100,500,
CHROMIC ACID,,26122020299,1,Kg,173200,216500,
CHROMIC ACID,,26122020300,180,Gram,174,555,
ASPARTAME,,26122020301,1,Kg,341200,426500,
ASPARTAME,,26122020302,990,Gram,900,1200,
ALUMUNIUM HYDROXIDE Al(OH)3 / AlOH3 Tk,,26122020303,10,Kg,160000,200000,
ALUMUNIUM HYDROXIDE / Al(OH)3 / AlOH3 Tk,,26122020304,237,Gram,160,500,
ASPARTAME,,26122020305,1,Kg,341200,426500,
ASPARTAME,,26122020306,1,Gram,100,1200,
ASPARTAME,,26122020309,1,Kg,1,426500,
ASPARTAME,,26122020310,1,Gram,1,1200,
1 - Naphtol / ALFA Naphthol / NAFTHOL,PADATAN PRO ANALIS,1,906,Gram,18000,25000,
1-NAPHTHYL ACETIC ACID 99% PA ECERAN,PADATAN PRO ANALIS,2,1000,Gram,2080,2600,
Aluminium Chloride Hexahydrate AlCl3 PA Eceran,PADATAN PRO ANALIS,A-2070-1,1587,Gram,1310,3400,
Ammonium Acetate SmartLab @1 Kg,,A-2001,12,Pack,"638527,5",982000,
Ammonium Acetate / Amonium Acetat NH3CH3COO PA Eceran,PADATAN PRO ANALIS,A-2001-1,805,Gram,639,2000,
Ammonium Carbonate (NH4)2CO3 PA Eceran,PADATAN PRO ANALIS,26122020322,885,Gram,3200,5000,
Ammonium Chloride NH4Cl PA Eceran,PADATAN PRO ANALIS,A - 2004 / 1,712,Gram,600,1500,
Ammonium Molybdate (NH4)6MoO7.4H20 PA Eceran,PADATAN PRO ANALIS,26122020326,74,Gram,4000,8500,
Amonium Nitrat / Ammonium Nitrate NH4NO3 PA Eceran,PADATAN PRO ANALIS,A-2007-1,289,Gram,667,5000,
Ammonium sulfate PA (NH4)2SO4 Eceran,PADATAN PRO ANALIS,26122020330,783,Gram,890,1900,
Asam Galat / Galic Acid PA Eceran,PADATAN PRO ANALIS,26122020332,6,Gram,32660,69000,
"CAL Standard pH Buffer Solution pH 10,01",,SP1001F,3,500 ml,500000,777000,
BARIUM CHLORIDE PA ECERAN,PADATAN PRO ANALIS,26122020338,1016,Gram,2080,2600,
"Barium Hydroxide Octahydrate, Barium Hidroksida, Ba(OH)2 Pro Analisa",PADATAN PRO ANALIS,26122020340,985,Gram,1840,2500,
Barium Sulfat / Barium Sulfate (Sulphate) BaSO4 PA Eceran,PADATAN PRO ANALIS,26122020342,965,Gram,1280,1600,
BESI (II) SULFAT HEPTAHIDRAT PA ECERAN,PADATAN PRO ANALIS,26122020344,932,Gram,560,1000,
BISMUTH SULPHITE AGAR PA ECERAN,PADATAN PRO ANALIS,26122020346,1000,Gram,8240,10300,
Boric Acid / H3BO3 PA Eceran,PADATAN PRO ANALIS,26122020348,813,Gram,1760,2800,
Calcium Carbonat / Kalsium Karbonat CaCO3 PA Eceran,PADATAN PRO ANALIS,26122020350,552,Gram,1120,3000,
Calcium Chloride Dihydrate CaCl2.2H2O PA Eceran,PADATAN PRO ANALIS,A-2114-1,15,Gram,733,1900,
Calcium Oxide From Marble CaO PA Eceran,PADATAN PRO ANALIS,26122020354,520,Gram,3440,7000,
Citric Acid Monohydrate / Asam Sitrat C6H8O7 PA ECERAN,PADATAN PRO ANALIS,150320220003,63,Gram,1100,2800,
"Kobalt (II) Klorida, Cobalt Chloride CoCl2 PA ECERAN",PADATAN PRO ANALIS,150320220004,880,Gram,13360,25000,
Tembaga (II) Sulfat / Copper (II) Sulfate CuSO4 PA Eceran,PADATAN PRO ANALIS,CTE 81/500/1,385,Gram,195,1800,
Gentian Violet / Crystal Violet (C.I. 42550) for Microscopy Eceran,PADATAN PRO ANALIS,26122020362,95,Gram,14000,55000,
Glukosa PA / D (+) Glucose Monohydrate C6H12O6 Eceran,PADATAN PRO ANALIS,M.1.08342.1000.1,564,Gram,522,1000,
Dipotassium Hydrogen Phosphate K2HPO4 PA Eceran,PADATAN PRO ANALIS,,960,Gram,950,2400,
DIAMMONIUM OXALATE MONOHYDRATE PA ECERAN,PADATAN PRO ANALIS,,978,Gram,3553,8000,
Disodium Hydrogen Phosphate Na2HPO4.7H2O PA Eceran,PADATAN PRO ANALIS,,570,Gram,1700,3300,
DODECYL SULFATE SODIUM SALT PA ECERAN,PADATAN PRO ANALIS,26122020374,1,Gram,11600,14500,
DPPH PA 50 MG,PADATAN PRO ANALIS,,1,Botol,160000,395000,
EOSIN Y PA ECERAN,PADATAN PRO ANALIS,26122020378,20,Gram,12000,15000,
Folin Ciacalteu's Phenol Reagent Eceran,CAIRAN PRO ANALIS,1.090.010.001,164,ml,3400,5000,
Pewarna Giemsa Stain / Giemsa s Eceran,CAIRAN PRO ANALIS,1.09204.0500.1,10,ml,1480,3500,
Pewarna Giemsa Stain / Giemsa s 100 ml,CAIRAN PRO ANALIS,1.092.040.500.100,5,Botol,148000,284000,
Immersion Oil for Microscopy Eceran,PADATAN PRO ANALIS,,92,ml,8480,12000,
Iodine I2 PA Eceran,PADATAN PRO ANALIS,26122020386,135,Gram,14000,24000,
Besi (II) Sulfida / Iron (II) Sulfide FeS PA Eceran,PADATAN PRO ANALIS,26122020388,95,Gram,1280,2500,
